Year,GEO,Age.group,Sex,Income.source,VALUE
1993,NB,35-44 yrs,Both sexes,"Wages, salaries and commissions",34300
1994,NB,35-44 yrs,Both sexes,"Wages, salaries and commissions",34200
1995,NB,35-44 yrs,Both sexes,"Wages, salaries and commissions",33000
1996,NB,35-44 yrs,Both sexes,"Wages, salaries and commissions",35600
1997,NB,35-44 yrs,Both sexes,"Wages, salaries and commissions",35000
1998,NB,35-44 yrs,Both sexes,"Wages, salaries and commissions",36300
1999,NB,35-44 yrs,Both sexes,"Wages, salaries and commissions",34400
2000,NB,35-44 yrs,Both sexes,"Wages, salaries and commissions",33800
2001,NB,35-44 yrs,Both sexes,"Wages, salaries and commissions",34600
2002,NB,35-44 yrs,Both sexes,"Wages, salaries and commissions",33500
2003,NB,35-44 yrs,Both sexes,"Wages, salaries and commissions",32700
2004,NB,35-44 yrs,Both sexes,"Wages, salaries and commissions",31300
2005,NB,35-44 yrs,Both sexes,"Wages, salaries and commissions",38500
2006,NB,35-44 yrs,Both sexes,"Wages, salaries and commissions",39100
2007,NB,35-44 yrs,Both sexes,"Wages, salaries and commissions",40200
2008,NB,35-44 yrs,Both sexes,"Wages, salaries and commissions",38000
2009,NB,35-44 yrs,Both sexes,"Wages, salaries and commissions",38100
2010,NB,35-44 yrs,Both sexes,"Wages, salaries and commissions",37100
2011,NB,35-44 yrs,Both sexes,"Wages, salaries and commissions",41100
2012,NB,35-44 yrs,Both sexes,"Wages, salaries and commissions",43900
2013,NB,35-44 yrs,Both sexes,"Wages, salaries and commissions",43800
2014,NB,35-44 yrs,Both sexes,"Wages, salaries and commissions",39100
2015,NB,35-44 yrs,Both sexes,"Wages, salaries and commissions",40500
2016,NB,35-44 yrs,Both sexes,"Wages, salaries and commissions",44200
2017,NB,35-44 yrs,Both sexes,"Wages, salaries and commissions",45300
2018,NB,35-44 yrs,Both sexes,"Wages, salaries and commissions",44500
1976,NB,35-44 yrs,Both sexes,Self-employment income,
1977,NB,35-44 yrs,Both sexes,Self-employment income,4400
1978,NB,35-44 yrs,Both sexes,Self-employment income,
1979,NB,35-44 yrs,Both sexes,Self-employment income,9600
1980,NB,35-44 yrs,Both sexes,Self-employment income,18900
1981,NB,35-44 yrs,Both sexes,Self-employment income,11900
1982,NB,35-44 yrs,Both sexes,Self-employment income,10900
1983,NB,35-44 yrs,Both sexes,Self-employment income,
1984,NB,35-44 yrs,Both sexes,Self-employment income,10400
1985,NB,35-44 yrs,Both sexes,Self-employment income,11300
1986,NB,35-44 yrs,Both sexes,Self-employment income,6300
1987,NB,35-44 yrs,Both sexes,Self-employment income,12500
1988,NB,35-44 yrs,Both sexes,Self-employment income,15000
1989,NB,35-44 yrs,Both sexes,Self-employment income,17600
1990,NB,35-44 yrs,Both sexes,Self-employment income,16300
1991,NB,35-44 yrs,Both sexes,Self-employment income,15300
1992,NB,35-44 yrs,Both sexes,Self-employment income,8000
1993,NB,35-44 yrs,Both sexes,Self-employment income,9800
1994,NB,35-44 yrs,Both sexes,Self-employment income,7800
1995,NB,35-44 yrs,Both sexes,Self-employment income,12400
1996,NB,35-44 yrs,Both sexes,Self-employment income,9600
1997,NB,35-44 yrs,Both sexes,Self-employment income,11300
1998,NB,35-44 yrs,Both sexes,Self-employment income,12600
1999,NB,35-44 yrs,Both sexes,Self-employment income,11100
2000,NB,35-44 yrs,Both sexes,Self-employment income,
2001,NB,35-44 yrs,Both sexes,Self-employment income,5700
2002,NB,35-44 yrs,Both sexes,Self-employment income,7800
2003,NB,35-44 yrs,Both sexes,Self-employment income,6200
2004,NB,35-44 yrs,Both sexes,Self-employment income,6200
2005,NB,35-44 yrs,Both sexes,Self-employment income,
2006,NB,35-44 yrs,Both sexes,Self-employment income,
2007,NB,35-44 yrs,Both sexes,Self-employment income,
2008,NB,35-44 yrs,Both sexes,Self-employment income,
2009,NB,35-44 yrs,Both sexes,Self-employment income,
2010,NB,35-44 yrs,Both sexes,Self-employment income,
2011,NB,35-44 yrs,Both sexes,Self-employment income,
2012,NB,35-44 yrs,Both sexes,Self-employment income,
2013,NB,35-44 yrs,Both sexes,Self-employment income,9000
2014,NB,35-44 yrs,Both sexes,Self-employment income,
2015,NB,35-44 yrs,Both sexes,Self-employment income,
2016,NB,35-44 yrs,Both sexes,Self-employment income,
2017,NB,35-44 yrs,Both sexes,Self-employment income,
2018,NB,35-44 yrs,Both sexes,Self-employment income,
1976,NB,35-44 yrs,Both sexes,Government transfers,3700
1977,NB,35-44 yrs,Both sexes,Government transfers,3400
1978,NB,35-44 yrs,Both sexes,Government transfers,4700
1979,NB,35-44 yrs,Both sexes,Government transfers,2400
1980,NB,35-44 yrs,Both sexes,Government transfers,3000
1981,NB,35-44 yrs,Both sexes,Government transfers,3000
1982,NB,35-44 yrs,Both sexes,Government transfers,3200
1983,NB,35-44 yrs,Both sexes,Government transfers,3100
1984,NB,35-44 yrs,Both sexes,Government transfers,3200
1985,NB,35-44 yrs,Both sexes,Government transfers,3200
1986,NB,35-44 yrs,Both sexes,Government transfers,3000
1987,NB,35-44 yrs,Both sexes,Government transfers,2600
1988,NB,35-44 yrs,Both sexes,Government transfers,2600
1989,NB,35-44 yrs,Both sexes,Government transfers,2600
1990,NB,35-44 yrs,Both sexes,Government transfers,2600
1991,NB,35-44 yrs,Both sexes,Government transfers,2700
1992,NB,35-44 yrs,Both sexes,Government transfers,2700
1993,NB,35-44 yrs,Both sexes,Government transfers,4800
1994,NB,35-44 yrs,Both sexes,Government transfers,4700
1995,NB,35-44 yrs,Both sexes,Government transfers,3800
1996,NB,35-44 yrs,Both sexes,Government transfers,4500
1997,NB,35-44 yrs,Both sexes,Government transfers,3900
1998,NB,35-44 yrs,Both sexes,Government transfers,3100
1999,NB,35-44 yrs,Both sexes,Government transfers,3800
2000,NB,35-44 yrs,Both sexes,Government transfers,3800
2001,NB,35-44 yrs,Both sexes,Government transfers,4100
2002,NB,35-44 yrs,Both sexes,Government transfers,3600
2003,NB,35-44 yrs,Both sexes,Government transfers,3600
2004,NB,35-44 yrs,Both sexes,Government transfers,3300
2005,NB,35-44 yrs,Both sexes,Government transfers,3600
2006,NB,35-44 yrs,Both sexes,Government transfers,3300
2007,NB,35-44 yrs,Both sexes,Government transfers,4000
2008,NB,35-44 yrs,Both sexes,Government transfers,3700
2009,NB,35-44 yrs,Both sexes,Government transfers,3700
2010,NB,35-44 yrs,Both sexes,Government transfers,4800
2011,NB,35-44 yrs,Both sexes,Government transfers,3600
2012,NB,35-44 yrs,Both sexes,Government transfers,2900
2013,NB,35-44 yrs,Both sexes,Government transfers,3200
2014,NB,35-44 yrs,Both sexes,Government transfers,3500
2015,NB,35-44 yrs,Both sexes,Government transfers,3100
2016,NB,35-44 yrs,Both sexes,Government transfers,3400
2017,NB,35-44 yrs,Both sexes,Government transfers,6000
2018,NB,35-44 yrs,Both sexes,Government transfers,3300
1976,NB,35-44 yrs,Males,Total income,57200
1977,NB,35-44 yrs,Males,Total income,53900
1978,NB,35-44 yrs,Males,Total income,54400
1979,NB,35-44 yrs,Males,Total income,53500
1980,NB,35-44 yrs,Males,Total income,54500
1981,NB,35-44 yrs,Males,Total income,56000
1982,NB,35-44 yrs,Males,Total income,47700
1983,NB,35-44 yrs,Males,Total income,46900
1984,NB,35-44 yrs,Males,Total income,49300
1985,NB,35-44 yrs,Males,Total income,47800
1986,NB,35-44 yrs,Males,Total income,47300
1987,NB,35-44 yrs,Males,Total income,52000
1988,NB,35-44 yrs,Males,Total income,51300
1989,NB,35-44 yrs,Males,Total income,52600
1990,NB,35-44 yrs,Males,Total income,49500
1991,NB,35-44 yrs,Males,Total income,46500
1992,NB,35-44 yrs,Males,Total income,49100
1993,NB,35-44 yrs,Males,Total income,47600
1994,NB,35-44 yrs,Males,Total income,45600
1995,NB,35-44 yrs,Males,Total income,43900
1996,NB,35-44 yrs,Males,Total income,45400
1997,NB,35-44 yrs,Males,Total income,40600
1998,NB,35-44 yrs,Males,Total income,41700
1999,NB,35-44 yrs,Males,Total income,41700
2000,NB,35-44 yrs,Males,Total income,40300
2001,NB,35-44 yrs,Males,Total income,41000
2002,NB,35-44 yrs,Males,Total income,40900
2003,NB,35-44 yrs,Males,Total income,42100
2004,NB,35-44 yrs,Males,Total income,40800
2005,NB,35-44 yrs,Males,Total income,41600
2006,NB,35-44 yrs,Males,Total income,44700
2007,NB,35-44 yrs,Males,Total income,45500
2008,NB,35-44 yrs,Males,Total income,47800
2009,NB,35-44 yrs,Males,Total income,44600
2010,NB,35-44 yrs,Males,Total income,43300
2011,NB,35-44 yrs,Males,Total income,46400
2012,NB,35-44 yrs,Males,Total income,50900
2013,NB,35-44 yrs,Males,Total income,51900
2014,NB,35-44 yrs,Males,Total income,52100
2015,NB,35-44 yrs,Males,Total income,51600
2016,NB,35-44 yrs,Males,Total income,46700
2017,NB,35-44 yrs,Males,Total income,52100
2018,NB,35-44 yrs,Males,Total income,46700
1976,NB,35-44 yrs,Males,Market income,54500
1977,NB,35-44 yrs,Males,Market income,52200
1978,NB,35-44 yrs,Males,Market income,52500
1979,NB,35-44 yrs,Males,Market income,52500
1980,NB,35-44 yrs,Males,Market income,54500
1981,NB,35-44 yrs,Males,Market income,55800
1982,NB,35-44 yrs,Males,Market income,46800
1983,NB,35-44 yrs,Males,Market income,48200
1984,NB,35-44 yrs,Males,Market income,50600
1985,NB,35-44 yrs,Males,Market income,44700
1986,NB,35-44 yrs,Males,Market income,47000
1987,NB,35-44 yrs,Males,Market income,50300
1988,NB,35-44 yrs,Males,Market income,50300
1989,NB,35-44 yrs,Males,Market income,52700
1990,NB,35-44 yrs,Males,Market income,48300
1991,NB,35-44 yrs,Males,Market income,46800
1992,NB,35-44 yrs,Males,Market income,45600
1993,NB,35-44 yrs,Males,Market income,47500
1994,NB,35-44 yrs,Males,Market income,45300
1995,NB,35-44 yrs,Males,Market income,42900
1996,NB,35-44 yrs,Males,Market income,44800
1997,NB,35-44 yrs,Males,Market income,41300
1998,NB,35-44 yrs,Males,Market income,42000
1999,NB,35-44 yrs,Males,Market income,41800
2000,NB,35-44 yrs,Males,Market income,41200
2001,NB,35-44 yrs,Males,Market income,40900
2002,NB,35-44 yrs,Males,Market income,41300
2003,NB,35-44 yrs,Males,Market income,42700
2004,NB,35-44 yrs,Males,Market income,41300
2005,NB,35-44 yrs,Males,Market income,44400
2006,NB,35-44 yrs,Males,Market income,46900
2007,NB,35-44 yrs,Males,Market income,47000
2008,NB,35-44 yrs,Males,Market income,46400
2009,NB,35-44 yrs,Males,Market income,44800
2010,NB,35-44 yrs,Males,Market income,42900
2011,NB,35-44 yrs,Males,Market income,46400
2012,NB,35-44 yrs,Males,Market income,51000
2013,NB,35-44 yrs,Males,Market income,52400
2014,NB,35-44 yrs,Males,Market income,53200
2015,NB,35-44 yrs,Males,Market income,52100
2016,NB,35-44 yrs,Males,Market income,47900
2017,NB,35-44 yrs,Males,Market income,52800
2018,NB,35-44 yrs,Males,Market income,47800
1976,NB,35-44 yrs,Males,Employment income,54500
1977,NB,35-44 yrs,Males,Employment income,49900
1978,NB,35-44 yrs,Males,Employment income,51100
1979,NB,35-44 yrs,Males,Employment income,52500
1980,NB,35-44 yrs,Males,Employment income,52500
1981,NB,35-44 yrs,Males,Employment income,53500
1982,NB,35-44 yrs,Males,Employment income,45800
1983,NB,35-44 yrs,Males,Employment income,48200
1984,NB,35-44 yrs,Males,Employment income,49100
1985,NB,35-44 yrs,Males,Employment income,44700
1986,NB,35-44 yrs,Males,Employment income,46800
1987,NB,35-44 yrs,Males,Employment income,49900
1988,NB,35-44 yrs,Males,Employment income,49700
1989,NB,35-44 yrs,Males,Employment income,52400
1990,NB,35-44 yrs,Males,Employment income,47600
1991,NB,35-44 yrs,Males,Employment income,46600
1992,NB,35-44 yrs,Males,Employment income,43700
1993,NB,35-44 yrs,Males,Employment income,46800
1994,NB,35-44 yrs,Males,Employment income,45600
1995,NB,35-44 yrs,Males,Employment income,43600
1996,NB,35-44 yrs,Males,Employment income,44100
1997,NB,35-44 yrs,Males,Employment income,41900
1998,NB,35-44 yrs,Males,Employment income,41800
1999,NB,35-44 yrs,Males,Employment income,41700
2000,NB,35-44 yrs,Males,Employment income,39800
2001,NB,35-44 yrs,Males,Employment income,39700
2002,NB,35-44 yrs,Males,Employment income,41400
2003,NB,35-44 yrs,Males,Employment income,42100
2004,NB,35-44 yrs,Males,Employment income,41300
2005,NB,35-44 yrs,Males,Employment income,44900
2006,NB,35-44 yrs,Males,Employment income,47300
2007,NB,35-44 yrs,Males,Employment income,47000
2008,NB,35-44 yrs,Males,Employment income,46400
2009,NB,35-44 yrs,Males,Employment income,45500
2010,NB,35-44 yrs,Males,Employment income,43800
2011,NB,35-44 yrs,Males,Employment income,46200
2012,NB,35-44 yrs,Males,Employment income,50200
2013,NB,35-44 yrs,Males,Employment income,52400
2014,NB,35-44 yrs,Males,Employment income,53000
2015,NB,35-44 yrs,Males,Employment income,52400
2016,NB,35-44 yrs,Males,Employment income,47900
2017,NB,35-44 yrs,Males,Employment income,53200
2018,NB,35-44 yrs,Males,Employment income,47400
1976,NB,35-44 yrs,Males,"Wages, salaries and commissions",55800
1977,NB,35-44 yrs,Males,"Wages, salaries and commissions",49300
1978,NB,35-44 yrs,Males,"Wages, salaries and commissions",52800
1979,NB,35-44 yrs,Males,"Wages, salaries and commissions",53800
1980,NB,35-44 yrs,Males,"Wages, salaries and commissions",54500
1981,NB,35-44 yrs,Males,"Wages, salaries and commissions",54300
1982,NB,35-44 yrs,Males,"Wages, salaries and commissions",46900
1983,NB,35-44 yrs,Males,"Wages, salaries and commissions",48400
1984,NB,35-44 yrs,Males,"Wages, salaries and commissions",50900
1985,NB,35-44 yrs,Males,"Wages, salaries and commissions",46500
1986,NB,35-44 yrs,Males,"Wages, salaries and commissions",47100
1987,NB,35-44 yrs,Males,"Wages, salaries and commissions",49000
1988,NB,35-44 yrs,Males,"Wages, salaries and commissions",49700
1989,NB,35-44 yrs,Males,"Wages, salaries and commissions",55000
1990,NB,35-44 yrs,Males,"Wages, salaries and commissions",47600
1991,NB,35-44 yrs,Males,"Wages, salaries and commissions",46700
1992,NB,35-44 yrs,Males,"Wages, salaries and commissions",45300
1993,NB,35-44 yrs,Males,"Wages, salaries and commissions",48300
1994,NB,35-44 yrs,Males,"Wages, salaries and commissions",46200
1995,NB,35-44 yrs,Males,"Wages, salaries and commissions",44100
1996,NB,35-44 yrs,Males,"Wages, salaries and commissions",46700
1997,NB,35-44 yrs,Males,"Wages, salaries and commissions",43800
1998,NB,35-44 yrs,Males,"Wages, salaries and commissions",44200
1999,NB,35-44 yrs,Males,"Wages, salaries and commissions",43500
2000,NB,35-44 yrs,Males,"Wages, salaries and commissions",41600
2001,NB,35-44 yrs,Males,"Wages, salaries and commissions",41300
2002,NB,35-44 yrs,Males,"Wages, salaries and commissions",42800
2003,NB,35-44 yrs,Males,"Wages, salaries and commissions",42700
2004,NB,35-44 yrs,Males,"Wages, salaries and commissions",43300
2005,NB,35-44 yrs,Males,"Wages, salaries and commissions",45100
2006,NB,35-44 yrs,Males,"Wages, salaries and commissions",48300
2007,NB,35-44 yrs,Males,"Wages, salaries and commissions",47300
2008,NB,35-44 yrs,Males,"Wages, salaries and commissions",46400
2009,NB,35-44 yrs,Males,"Wages, salaries and commissions",45500
2010,NB,35-44 yrs,Males,"Wages, salaries and commissions",47200
2011,NB,35-44 yrs,Males,"Wages, salaries and commissions",47200
2012,NB,35-44 yrs,Males,"Wages, salaries and commissions",50900
2013,NB,35-44 yrs,Males,"Wages, salaries and commissions",54000
2014,NB,35-44 yrs,Males,"Wages, salaries and commissions",49800
2015,NB,35-44 yrs,Males,"Wages, salaries and commissions",53800
2016,NB,35-44 yrs,Males,"Wages, salaries and commissions",49600
2017,NB,35-44 yrs,Males,"Wages, salaries and commissions",53200
2018,NB,35-44 yrs,Males,"Wages, salaries and commissions",47000
1976,NB,35-44 yrs,Males,Self-employment income,
1977,NB,35-44 yrs,Males,Self-employment income,5400
1978,NB,35-44 yrs,Males,Self-employment income,
1979,NB,35-44 yrs,Males,Self-employment income,11700
1980,NB,35-44 yrs,Males,Self-employment income,20500
1981,NB,35-44 yrs,Males,Self-employment income,15800
1982,NB,35-44 yrs,Males,Self-employment income,14600
1983,NB,35-44 yrs,Males,Self-employment income,
1984,NB,35-44 yrs,Males,Self-employment income,15400
1985,NB,35-44 yrs,Males,Self-employment income,14800
1986,NB,35-44 yrs,Males,Self-employment income,12200
1987,NB,35-44 yrs,Males,Self-employment income,21100
1988,NB,35-44 yrs,Males,Self-employment income,31400
1989,NB,35-44 yrs,Males,Self-employment income,24400
1990,NB,35-44 yrs,Males,Self-employment income,21400
1991,NB,35-44 yrs,Males,Self-employment income,27400
1992,NB,35-44 yrs,Males,Self-employment income,13200
1993,NB,35-44 yrs,Males,Self-employment income,13900
1994,NB,35-44 yrs,Males,Self-employment income,
1995,NB,35-44 yrs,Males,Self-employment income,17800
1996,NB,35-44 yrs,Males,Self-employment income,13500
1997,NB,35-44 yrs,Males,Self-employment income,14100
1998,NB,35-44 yrs,Males,Self-employment income,13800
1999,NB,35-44 yrs,Males,Self-employment income,12500
2000,NB,35-44 yrs,Males,Self-employment income,
2001,NB,35-44 yrs,Males,Self-employment income,
2002,NB,35-44 yrs,Males,Self-employment income,
2003,NB,35-44 yrs,Males,Self-employment income,
2004,NB,35-44 yrs,Males,Self-employment income,
2005,NB,35-44 yrs,Males,Self-employment income,
2006,NB,35-44 yrs,Males,Self-employment income,
2007,NB,35-44 yrs,Males,Self-employment income,
2008,NB,35-44 yrs,Males,Self-employment income,
2009,NB,35-44 yrs,Males,Self-employment income,
2010,NB,35-44 yrs,Males,Self-employment income,
2011,NB,35-44 yrs,Males,Self-employment income,
2012,NB,35-44 yrs,Males,Self-employment income,
2013,NB,35-44 yrs,Males,Self-employment income,
2014,NB,35-44 yrs,Males,Self-employment income,
2015,NB,35-44 yrs,Males,Self-employment income,
2016,NB,35-44 yrs,Males,Self-employment income,
2017,NB,35-44 yrs,Males,Self-employment income,
2018,NB,35-44 yrs,Males,Self-employment income,
1976,NB,35-44 yrs,Males,Government transfers,3400
1977,NB,35-44 yrs,Males,Government transfers,3400
1978,NB,35-44 yrs,Males,Government transfers,4500
1979,NB,35-44 yrs,Males,Government transfers,2400
1980,NB,35-44 yrs,Males,Government transfers,3000
1981,NB,35-44 yrs,Males,Government transfers,3100
1982,NB,35-44 yrs,Males,Government transfers,3900
1983,NB,35-44 yrs,Males,Government transfers,3100
1984,NB,35-44 yrs,Males,Government transfers,3200
1985,NB,35-44 yrs,Males,Government transfers,3200
1986,NB,35-44 yrs,Males,Government transfers,3000
1987,NB,35-44 yrs,Males,Government transfers,2600
1988,NB,35-44 yrs,Males,Government transfers,2400
1989,NB,35-44 yrs,Males,Government transfers,2100
1990,NB,35-44 yrs,Males,Government transfers,2300
1991,NB,35-44 yrs,Males,Government transfers,2800
1992,NB,35-44 yrs,Males,Government transfers,2400
1993,NB,35-44 yrs,Males,Government transfers,7500
1994,NB,35-44 yrs,Males,Government transfers,7800
1995,NB,35-44 yrs,Males,Government transfers,6900
1996,NB,35-44 yrs,Males,Government transfers,7500
1997,NB,35-44 yrs,Males,Government transfers,5700
1998,NB,35-44 yrs,Males,Government transfers,5800
1999,NB,35-44 yrs,Males,Government transfers,5400
2000,NB,35-44 yrs,Males,Government transfers,4800
2001,NB,35-44 yrs,Males,Government transfers,6100
2002,NB,35-44 yrs,Males,Government transfers,5500
2003,NB,35-44 yrs,Males,Government transfers,4400
2004,NB,35-44 yrs,Males,Government transfers,4600
2005,NB,35-44 yrs,Males,Government transfers,4100
2006,NB,35-44 yrs,Males,Government transfers,3100
2007,NB,35-44 yrs,Males,Government transfers,2900
2008,NB,35-44 yrs,Males,Government transfers,
2009,NB,35-44 yrs,Males,Government transfers,
2010,NB,35-44 yrs,Males,Government transfers,5100
2011,NB,35-44 yrs,Males,Government transfers,5200
2012,NB,35-44 yrs,Males,Government transfers,
2013,NB,35-44 yrs,Males,Government transfers,
2014,NB,35-44 yrs,Males,Government transfers,
2015,NB,35-44 yrs,Males,Government transfers,2200
2016,NB,35-44 yrs,Males,Government transfers,1000
2017,NB,35-44 yrs,Males,Government transfers,3300
2018,NB,35-44 yrs,Males,Government transfers,800
1976,NB,35-44 yrs,Females,Total income,19600
1977,NB,35-44 yrs,Females,Total income,20300
1978,NB,35-44 yrs,Females,Total income,21200
1979,NB,35-44 yrs,Females,Total income,19900
1980,NB,35-44 yrs,Females,Total income,20800
1981,NB,35-44 yrs,Females,Total income,20000
1982,NB,35-44 yrs,Females,Total income,21100
1983,NB,35-44 yrs,Females,Total income,21800
1984,NB,35-44 yrs,Females,Total income,22000
1985,NB,35-44 yrs,Females,Total income,23000
1986,NB,35-44 yrs,Females,Total income,22700
1987,NB,35-44 yrs,Females,Total income,24400
1988,NB,35-44 yrs,Females,Total income,23600
1989,NB,35-44 yrs,Females,Total income,23600
1990,NB,35-44 yrs,Females,Total income,22500
1991,NB,35-44 yrs,Females,Total income,25200
1992,NB,35-44 yrs,Females,Total income,23800
1993,NB,35-44 yrs,Females,Total income,23400
1994,NB,35-44 yrs,Females,Total income,22900
1995,NB,35-44 yrs,Females,Total income,22400
1996,NB,35-44 yrs,Females,Total income,21000
1997,NB,35-44 yrs,Females,Total income,23800
1998,NB,35-44 yrs,Females,Total income,25400
1999,NB,35-44 yrs,Females,Total income,25000
2000,NB,35-44 yrs,Females,Total income,26000
2001,NB,35-44 yrs,Females,Total income,26900
2002,NB,35-44 yrs,Females,Total income,27400
2003,NB,35-44 yrs,Females,Total income,26300
2004,NB,35-44 yrs,Females,Total income,26600
2005,NB,35-44 yrs,Females,Total income,29800
2006,NB,35-44 yrs,Females,Total income,31300
2007,NB,35-44 yrs,Females,Total income,32700
2008,NB,35-44 yrs,Females,Total income,32000
2009,NB,35-44 yrs,Females,Total income,31100
2010,NB,35-44 yrs,Females,Total income,34100
2011,NB,35-44 yrs,Females,Total income,38100
2012,NB,35-44 yrs,Females,Total income,38900
2013,NB,35-44 yrs,Females,Total income,38500
2014,NB,35-44 yrs,Females,Total income,32900
2015,NB,35-44 yrs,Females,Total income,33800
2016,NB,35-44 yrs,Females,Total income,42300
2017,NB,35-44 yrs,Females,Total income,41700
2018,NB,35-44 yrs,Females,Total income,44600
1976,NB,35-44 yrs,Females,Market income,11200
1977,NB,35-44 yrs,Females,Market income,18400
1978,NB,35-44 yrs,Females,Market income,19100
1979,NB,35-44 yrs,Females,Market income,17000
1980,NB,35-44 yrs,Females,Market income,17600
1981,NB,35-44 yrs,Females,Market income,16700
1982,NB,35-44 yrs,Females,Market income,19100
1983,NB,35-44 yrs,Females,Market income,22000
1984,NB,35-44 yrs,Females,Market income,18400
1985,NB,35-44 yrs,Females,Market income,21400
1986,NB,35-44 yrs,Females,Market income,21100
1987,NB,35-44 yrs,Females,Market income,20300
1988,NB,35-44 yrs,Females,Market income,20600
1989,NB,35-44 yrs,Females,Market income,22600
1990,NB,35-44 yrs,Females,Market income,19700
1991,NB,35-44 yrs,Females,Market income,24200
1992,NB,35-44 yrs,Females,Market income,20100
1993,NB,35-44 yrs,Females,Market income,21100
1994,NB,35-44 yrs,Females,Market income,23300
1995,NB,35-44 yrs,Females,Market income,20700
1996,NB,35-44 yrs,Females,Market income,22100
1997,NB,35-44 yrs,Females,Market income,25100
1998,NB,35-44 yrs,Females,Market income,27100
1999,NB,35-44 yrs,Females,Market income,25200
2000,NB,35-44 yrs,Females,Market income,24100
2001,NB,35-44 yrs,Females,Market income,26700
2002,NB,35-44 yrs,Females,Market income,24700
2003,NB,35-44 yrs,Females,Market income,22900
2004,NB,35-44 yrs,Females,Market income,23700
2005,NB,35-44 yrs,Females,Market income,29400
2006,NB,35-44 yrs,Females,Market income,30000
2007,NB,35-44 yrs,Females,Market income,31200
2008,NB,35-44 yrs,Females,Market income,32000
2009,NB,35-44 yrs,Females,Market income,27700
2010,NB,35-44 yrs,Females,Market income,30500
2011,NB,35-44 yrs,Females,Market income,36400
2012,NB,35-44 yrs,Females,Market income,37500
2013,NB,35-44 yrs,Females,Market income,35700
2014,NB,35-44 yrs,Females,Market income,32100
2015,NB,35-44 yrs,Females,Market income,29800
2016,NB,35-44 yrs,Females,Market income,40900
2017,NB,35-44 yrs,Females,Market income,38100
2018,NB,35-44 yrs,Females,Market income,41700
1976,NB,35-44 yrs,Females,Employment income,11200
1977,NB,35-44 yrs,Females,Employment income,17900
1978,NB,35-44 yrs,Females,Employment income,17900
1979,NB,35-44 yrs,Females,Employment income,17600
1980,NB,35-44 yrs,Females,Employment income,17600
1981,NB,35-44 yrs,Females,Employment income,16800
1982,NB,35-44 yrs,Females,Employment income,19100
1983,NB,35-44 yrs,Females,Employment income,21900
1984,NB,35-44 yrs,Females,Employment income,18600
1985,NB,35-44 yrs,Females,Employment income,21700
1986,NB,35-44 yrs,Females,Employment income,21100
1987,NB,35-44 yrs,Females,Employment income,21000
1988,NB,35-44 yrs,Females,Employment income,21600
1989,NB,35-44 yrs,Females,Employment income,22700
1990,NB,35-44 yrs,Females,Employment income,20400
1991,NB,35-44 yrs,Females,Employment income,24200
1992,NB,35-44 yrs,Females,Employment income,20400
1993,NB,35-44 yrs,Females,Employment income,21500
1994,NB,35-44 yrs,Females,Employment income,23300
1995,NB,35-44 yrs,Females,Employment income,21300
1996,NB,35-44 yrs,Females,Employment income,22500
1997,NB,35-44 yrs,Females,Employment income,25100
1998,NB,35-44 yrs,Females,Employment income,28600
1999,NB,35-44 yrs,Females,Employment income,26700
2000,NB,35-44 yrs,Females,Employment income,23600
2001,NB,35-44 yrs,Females,Employment income,26700
2002,NB,35-44 yrs,Females,Employment income,24800
2003,NB,35-44 yrs,Females,Employment income,22800
2004,NB,35-44 yrs,Females,Employment income,22600
2005,NB,35-44 yrs,Females,Employment income,29000
2006,NB,35-44 yrs,Females,Employment income,29900
2007,NB,35-44 yrs,Females,Employment income,31000
2008,NB,35-44 yrs,Females,Employment income,31200
2009,NB,35-44 yrs,Females,Employment income,27600
2010,NB,35-44 yrs,Females,Employment income,29900
2011,NB,35-44 yrs,Females,Employment income,35000
2012,NB,35-44 yrs,Females,Employment income,37300
2013,NB,35-44 yrs,Females,Employment income,34500
2014,NB,35-44 yrs,Females,Employment income,31400
2015,NB,35-44 yrs,Females,Employment income,29400
2016,NB,35-44 yrs,Females,Employment income,38200
2017,NB,35-44 yrs,Females,Employment income,36100
2018,NB,35-44 yrs,Females,Employment income,40100
1976,NB,35-44 yrs,Females,"Wages, salaries and commissions",19200
1977,NB,35-44 yrs,Females,"Wages, salaries and commissions",18500
1978,NB,35-44 yrs,Females,"Wages, salaries and commissions",17900
1979,NB,35-44 yrs,Females,"Wages, salaries and commissions",18400
1980,NB,35-44 yrs,Females,"Wages, salaries and commissions",17600
1981,NB,35-44 yrs,Females,"Wages, salaries and commissions",17000
1982,NB,35-44 yrs,Females,"Wages, salaries and commissions",19800
1983,NB,35-44 yrs,Females,"Wages, salaries and commissions",21900
1984,NB,35-44 yrs,Females,"Wages, salaries and commissions",22000
1985,NB,35-44 yrs,Females,"Wages, salaries and commissions",23500
1986,NB,35-44 yrs,Females,"Wages, salaries and commissions",22100
1987,NB,35-44 yrs,Females,"Wages, salaries and commissions",22500
1988,NB,35-44 yrs,Females,"Wages, salaries and commissions",22500
1989,NB,35-44 yrs,Females,"Wages, salaries and commissions",22600
1990,NB,35-44 yrs,Females,"Wages, salaries and commissions",21000
1991,NB,35-44 yrs,Females,"Wages, salaries and commissions",25700
1992,NB,35-44 yrs,Females,"Wages, salaries and commissions",22500
1993,NB,35-44 yrs,Females,"Wages, salaries and commissions",22300
